Genes	B	CD4	CD8	CLP	CMP	Ery	GMP-A	GMP-B	GMP-C	HSC	LMPP	MEP	Mono	MPP	NK	pDC
OMA1	2773	4046	3292	1215	2818	344	230	114	165	1937	1288	3653	1709	2455	2954	437
TACSTD2	0	0	0	0	13	1	0	0	1	1	0	31	85	4	0	0
MYSM1	11615	15877	12892	8112	7989	2965	650	682	1655	8655	4683	9669	8440	9057	12493	1686
JUN	16675	9311	4611	1327	5716	7	1359	859	3216	5496	948	2266	4618	7640	350	5810
FGGY	505	252	277	151	395	8	29	39	34	769	293	485	183	574	243	159
HOOK1	1165	2468	1769	97	746	1802	15	51	4	2134	536	4354	2	1526	473	65
CYP2J2	49	57	146	2	68	13	6	6	0	244	70	37	0	216	3	0
C1orf87	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
NFIA	206	2564	3059	1416	9622	29565	318	651	723	15723	1834	48202	2869	15657	1009	97
TM2D1	1004	1072	893	1158	890	477	95	91	112	830	553	878	995	1317	996	194
INADL	5002	12530	7649	799	1087	4	116	89	214	2752	1371	709	26	2329	2130	670
L1TD1	11	5	0	0	1	0	0	0	1	3	6	1	48	2	0	0
KANK4	0	1	0	0	2	0	0	0	0	5	1	0	0	22	0	0
USP1	3944	4347	2999	8256	6787	5804	638	939	1544	3292	5270	9003	2465	3764	3947	2590
ANGPTL3	13	3	12	10	38	0	0	0	3	35	35	29	9	48	32	11
AL138847.1	31	13	3	11	35	6	0	0	0	33	32	35	6	39	6	17
DOCK7	1930	1347	1048	3221	5198	1837	397	431	725	3391	3314	6394	2117	3754	1007	1058
ATG4C	854	546	457	567	1288	296	69	93	238	820	720	1622	754	666	410	241
FOXD3	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALG6	1233	1576	1305	1653	2060	690	255	217	545	893	1125	1780	1441	1127	1522	588
EFCAB7	761	858	723	1746	628	253	66	85	141	698	799	1058	170	805	537	142
DLEU2L	120	120	124	287	130	524	14	9	34	61	101	112	41	116	102	92
PGM1	837	1736	1242	609	7321	3	813	922	2740	2536	3022	3802	4016	3785	2856	1490
ITGB3BP	959	814	752	1423	1281	780	61	87	159	917	948	1478	310	886	753	189
ROR1	1399	2	1	1	4	1	0	0	0	2	1	2	0	0	18	0
UBE2U	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACHD1	35	1102	982	236	769	1	251	510	381	1475	808	288	27	1307	1	90
RAVER2	1734	1588	1276	2688	6025	290	616	612	1575	4995	3592	5682	643	5163	1677	1278
JAK1	47793	73561	56259	30603	28705	2819	2706	3078	8606	28824	12156	27252	40698	32951	126972	14055
AK4	3	7	4	60	3806	0	786	1029	2626	2142	1595	7126	337	2747	3	469
DNAJC6	9	146	288	29	4041	8027	139	129	166	719	372	8251	9	1450	6	97
LEPR	232	587	508	330	1330	1046	57	70	72	842	395	2329	804	1382	465	289
LEPROT	1218	2971	2636	1836	9768	7989	771	794	1167	11831	2971	12238	16008	14655	2802	1036
PDE4B	39248	14692	8214	20888	8264	10	14491	15429	21779	32559	19765	1174	18184	22826	2069	24070
SGIP1	0	0	0	10	123	389	8	8	138	1126	69	30	0	590	0	0
AL139147.1	0	0	1	0	14	26	0	0	0	69	0	1	1	35	0	0
TCTEX1D1	0	0	0	5	345	3	40	22	54	787	794	113	0	789	1	1
INSL5	0	0	0	0	1	0	0	0	0	1	1	0	0	2	0	0
WDR78	206	361	197	858	169	25	34	6	6	182	166	172	19	167	109	3
MIER1	5541	9166	6992	5021	8448	4450	823	805	1126	6661	4353	8212	8468	7137	7972	1606
SLC35D1	2802	4572	3586	13425	8870	682	1113	844	1002	3256	3625	6254	2043	4027	3946	8070
IL23R	1	80	200	0	3	0	0	0	0	1	2	6	0	2	41	0
C1orf141	0	2	0	2	30	23	0	0	0	0	0	223	0	1	0	0
IL12RB2	114	512	392	815	3687	17	1036	1016	403	9994	4169	1384	26	8129	4603	147
SERBP1	16980	23748	20117	26817	64876	17219	16755	17168	33521	34099	30833	96697	27660	48735	23460	22160
GADD45A	267	968	648	3171	1898	3273	771	430	440	3236	459	1075	804	2234	496	260
GNG12	0	3	0	21	6	38	1	0	0	6	3	1	27	0	1	0
DIRAS3	0	1	0	0	4	0	0	0	0	41	17	0	5	56	1	0
WLS	0	0	2	1	1	0	0	4	0	4	0	5	6664	0	11	0
RPE65	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
DEPDC1	48	7	22	1885	964	3398	59	213	139	321	574	1234	79	417	7	246
LRRC7	94	236	288	75	119	22	3	7	64	216	23	462	23	308	77	15
LRRC40	866	1124	909	1296	1745	976	142	163	135	1097	1010	2890	1129	1521	1036	166
SRSF11	9102	12263	8656	8666	14091	3494	2297	2130	3588	9253	7538	16846	9665	10192	8633	4441
ANKRD13C	2311	2908	2299	1447	1598	1521	123	101	184	1836	1258	1704	1319	1993	2481	334
HHLA3	204	560	546	412	631	22	144	229	264	839	313	1032	132	842	274	1453
CTH	233	161	154	23	306	63	20	2	10	181	159	639	73	523	119	2
PTGER3	6	0	3	1	324	16	0	0	0	1	0	832	2	0	1	0
ZRANB2	6477	8512	6573	7173	9174	2457	1399	1082	2812	7425	5145	10665	3792	8913	5414	1524
NEGR1	3	5	2	802	1273	0	666	1073	1756	3480	5440	136	898	3412	46	2808
LRRIQ3	99	159	119	48	83	5	2	4	2	50	6	98	2	28	60	16
FPGT	234	431	374	297	522	1049	38	15	35	556	348	671	920	485	511	9
FPGT-TNNI3K	33	27	23	5	15	6	0	0	0	104	27	16	3	56	11	0
TNNI3K	0	8	20	0	1	0	0	0	0	8	4	1	0	39	1	0
LRRC53	0	1	0	0	0	0	0	0	0	9	0	0	0	2	0	0
C1orf173	12	1	5	1	2	0	0	0	0	23	0	0	0	43	118	0
TYW3	1988	2806	2877	3600	6800	340	804	688	1226	5946	4714	6461	3122	6025	2463	1414
CRYZ	1946	2066	1960	1574	2521	12	241	196	333	1879	1642	2261	872	2359	3001	172
LHX8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC44A5	288	150	78	217	57	0	18	0	1	119	37	87	1	214	37	0
ACADM	5946	4544	4107	12002	13330	4330	1952	1834	3269	8257	8061	17077	4372	10913	4040	3806
RABGGTB	6841	7274	6002	4223	6016	1998	858	510	1909	4978	3892	5646	5053	5346	4259	2338
MSH4	110	75	78	8	22	19	0	0	0	27	1	6	14	5	79	13
ASB17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ST6GALNAC3	618	96	192	77	18	1	17	4	32	120	92	4	962	43	13	25
ST6GALNAC5	1	21	0	0	9	0	0	0	0	203	0	0	0	223	7	0
PIGK	2301	6883	5689	3772	3638	2914	317	436	1081	3208	3519	3165	1542	3631	8162	956
AK5	360	7446	3196	403	422	5	396	184	210	290	395	245	159	214	3845	142
ZZZ3	6666	10208	7428	4720	9364	827	1080	1225	1393	8035	5427	10957	4191	9076	5435	2476
USP33	4784	7559	6341	5318	7911	5777	414	567	1008	6150	3639	9985	7131	7247	7400	2019
FAM73A	3539	4577	3782	1680	2407	252	182	599	443	2330	1330	1789	2361	3013	2567	393
NEXN	250	261	166	434	296	15	39	56	92	205	218	319	599	461	251	84
FUBP1	14917	20189	16400	18078	26968	6202	7242	6858	13768	16599	12310	28194	13009	20018	14771	17457
DNAJB4	371	756	664	503	569	3923	55	19	49	860	408	881	435	929	688	394
GIPC2	1	18	38	1	53	147	4	0	0	371	43	35	0	257	3	7
PTGFR	0	0	0	0	0	0	0	0	0	0	0	0	58	1	0	0
IFI44L	1659	2871	976	229	692	166	52	65	39	3001	729	504	5169	2908	396	42
IFI44	470	2108	1419	1153	2072	165	163	240	716	2701	2106	1982	4096	3134	898	58
ELTD1	6	0	0	1	0	0	0	0	0	6	26	0	11	4	0	0
LPHN2	4	0	0	34	4	0	0	0	62	18	29	0	5	2	0	0
TTLL7	14	27	16	66	2555	128	16	22	223	1102	210	84	56	593	14	198
PRKACB	10706	23032	23326	10957	26626	191	1227	1665	4030	26611	7910	35740	3141	34190	30215	2332
SAMD13	44	2	6	52	556	0	8	19	42	392	298	591	21	684	9	10
DNASE2B	0	1	0	0	0	0	2	0	0	0	0	2	2	0	0	0
RPF1	2775	4651	4086	2481	4380	373	1386	836	2020	4132	2345	6626	3177	4221	2868	1374
GNG5	1833	2269	1619	4462	5824	1995	946	870	2988	2345	2489	6552	6658	3660	2549	1184
CTBS	5447	6309	4261	3138	4826	376	189	303	1110	2889	1793	4110	14238	4484	3340	618
C1orf180	0	2	0	8	25	3	0	0	0	0	1	11	0	14	19	0
SSX2IP	697	1262	1272	1859	6032	6233	321	164	365	2309	1629	8768	515	3402	3366	1019
LPAR3	3	37	55	0	11	0	2	0	1	2	12	1	1	0	18	0
MCOLN2	330	587	807	0	146	0	2	4	21	368	239	42	159	288	263	420
WDR63	5	75	124	0	5	0	5	0	0	27	7	2	0	4	5	0
MCOLN3	0	112	86	0	1	0	0	0	0	77	8	1	2	53	8	0
SYDE2	265	2226	1792	1	1130	148	24	21	7	866	430	1225	3	953	1	1
C1orf52	1607	1904	1574	887	1831	696	160	384	453	1571	852	2099	1557	1599	1306	670
BCL10	4819	2697	1982	1608	1606	697	253	311	1597	1518	1243	1980	3575	1893	2205	654
DDAH1	86	0	3	6	1696	0	617	311	74	500	550	1282	4	539	10	52
CYR61	2	4	4	6	153	0	5	29	0	19	2	156	0	24	9	1
ZNHIT6	6418	9742	8389	5456	12183	423	4046	4063	7528	8100	6282	14300	2396	9630	6038	3801
COL24A1	4	15	2	2128	1839	1	1044	1522	2268	3933	2137	205	587	4130	9	2492
ODF2L	1923	3939	2416	2089	1696	225	316	183	290	1674	1175	2078	367	1859	1988	619
CLCA2	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
CLCA1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CLCA4	7	0	1	0	0	0	0	0	0	1	2	1	0	2	3	0
SH3GLB1	9988	12713	10434	11908	19525	2756	1916	1893	4754	16787	10534	16825	20609	18546	19548	4645
SEP15	18548	17492	14774	21283	20617	3345	2541	1763	4873	10792	10138	20155	20003	14410	14168	6937
HS2ST1	3471	3151	2235	4361	9024	184	446	553	1063	4528	3555	7351	2727	5025	2311	1042
RP5-1052I5.2	5	3	1	3	6	0	0	0	0	1	2	0	0	0	0	2
LMO4	852	467	698	1316	9443	48	261	214	508	1742	647	2387	2224	2112	1794	589
PKN2	4913	5850	4431	8364	4289	5572	450	363	1040	4539	3286	4167	5827	5071	4580	1139
GTF2B	2857	4535	3506	2252	4469	4074	460	514	896	2648	1901	3270	3058	2984	2937	1697
CCBL2	1390	2708	2043	2194	3502	285	203	192	219	2359	1805	3420	2406	3007	1964	506
RBMXL1	2367	2846	2081	1089	2806	628	222	392	360	3020	1333	2835	2034	2929	1503	713
GBP3	1616	2658	2608	1370	2410	55	323	273	686	2516	1358	1251	2846	3022	3533	175
GBP1	511	5151	4582	1210	878	5	163	178	114	1549	1988	219	4166	1293	3583	52
GBP2	1174	13289	8994	107	1840	12	375	342	535	3681	2522	375	13464	3612	13567	328
GBP7	21	53	24	86	70	0	16	28	28	145	57	32	36	128	95	0
GBP4	6363	15363	10482	40830	9524	29	1913	1998	1165	29602	10765	4766	7781	30049	24046	102
GBP5	2170	9362	7651	365	946	12	245	98	420	1718	810	389	3521	1634	22053	12
GBP6	9	15	19	13	10	0	0	0	0	33	11	6	9	30	23	0
LRRC8B	1742	3419	1781	1951	3613	234	387	355	217	3301	1766	3091	2103	3521	165	311
LRRC8C	2190	23001	16219	12108	5904	28	2091	3544	7399	3219	8072	2367	12098	3829	6772	3544
RP11-302M6.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRRC8D	4664	8494	5491	4222	8382	43	643	959	1989	8005	5307	7067	11983	8345	3472	1503
ZNF326	7370	5756	4607	7754	9720	3747	1436	1183	2379	7546	4473	10415	4809	8094	3439	3843
BARHL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF644	17457	16795	13913	11390	14933	3135	2115	1939	4336	13428	8948	14981	9976	13721	11891	5021
HFM1	4	1	1	21	312	21	18	13	14	373	202	361	2	328	6	9
CDC7	797	720	805	2311	4522	3896	1325	1036	2147	1512	2735	4364	345	1473	699	2618
TGFBR3	28	3447	6813	7	74	7	1	1	164	10	16	5	63	12	28381	370
BRDT	0	3	4	0	0	0	0	2	0	0	0	0	0	0	6	0
EPHX4	0	7	27	0	7	0	0	0	0	0	51	0	0	3	85	0
BTBD8	9	138	77	18	75	0	11	6	14	142	92	76	38	197	94	3
KIAA1107	170	873	708	166	842	46	67	31	94	1200	618	706	293	1090	1016	95
C1orf146	30	36	30	19	8	0	1	0	0	27	18	9	7	35	41	0
RPAP2	2902	4977	4378	4530	4185	583	441	361	868	3685	2925	3565	1462	4372	5554	693
GLMN	322	603	661	409	651	86	34	45	56	484	499	829	170	555	773	67
GFI1	158	686	1001	3354	906	1	1297	725	1085	486	1317	227	42	848	2467	1930
EVI5	2706	292	111	875	1410	568	49	68	620	753	297	2040	10510	987	553	450
RPL5	164201	401111	272927	113784	543340	25147	57653	55839	91150	428334	237562	515066	165906	503847	88554	113395
FAM69A	2748	2453	1624	463	331	29	12	12	19	274	256	248	270	309	2101	305
MTF2	4939	5598	4709	15963	7799	2733	861	947	1201	6295	6587	7116	4040	6857	4517	1980
CCDC18	1471	1116	882	2574	2157	2408	163	140	362	1468	1305	1768	1557	1625	1201	851
TMED5	6014	6461	5545	6058	7129	1294	269	418	1156	4208	2998	5301	15578	4820	8719	1435
DR1	6088	11085	8513	7019	10710	3847	851	803	2079	6759	4987	9841	11905	8971	10270	1891
FNBP1L	2164	498	196	3516	5706	8352	522	555	1530	4763	2994	4175	358	5305	41	1879
BCAR3	308	86	40	128	203	35	7	10	72	253	108	52	38	229	31	263
DNTTIP2	9830	13066	11972	11022	16726	5466	2928	2559	3864	13853	9615	14866	11058	15013	15252	4359
GCLM	926	1900	1955	627	1832	18184	49	172	174	2188	1232	2997	717	2088	3885	131
ABCA4	0	0	1	32	4	49	0	0	1	0	0	0	0	0	7	0
ARHGAP29	1	1	0	37	6	0	0	4	0	138	20	17	602	74	0	0
ABCD3	2826	2413	2249	2928	3579	1288	297	311	566	1976	2377	3751	3032	2087	2967	656
F3	1	8	6	67	111	0	3	28	8	9	19	6	107	17	1	0
SLC44A3	0	15	43	59	0	20	4	0	0	0	4	2	0	10	0	0
CNN3	452	348	436	760	834	353	71	137	10	1854	421	263	1	1303	50	61
ALG14	235	269	288	202	376	142	9	41	79	85	242	454	257	159	140	240
TMEM56	313	22	24	5	21	42726	0	0	0	4	8	1943	2	69	10	0
RWDD3	135	206	172	149	105	80	21	0	339	122	41	149	77	113	110	49
RP11-147C23.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTBP2	1863	1956	1257	2440	2103	302	501	298	789	1870	1242	1832	1182	1989	1293	443
DPYD	2270	5952	3677	3416	3157	297	464	548	1170	5134	3338	2332	28908	4615	4160	565
SNX7	0	0	1	1	22	0	6	76	40	112	39	0	6	52	0	78
LPPR5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
LPPR4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PALMD	1	1	1	0	1	31	0	0	0	5	1	4	2	6	0	0
FRRS1	60	35	55	4	1143	675	15	196	301	363	297	1412	684	565	85	101
AGL	2597	3706	3324	733	4985	256	234	267	782	3372	2846	7535	1543	3872	3640	760
SLC35A3	808	1443	1240	929	1963	140	198	97	253	1525	794	2156	1140	1957	1100	658
HIAT1	4174	7103	5647	2989	6979	2982	905	902	1709	6278	3763	8257	7355	6625	4745	1570
SASS6	1339	1592	1431	2313	2845	2679	155	300	506	1591	1760	4789	806	2160	1300	371
TRMT13	1949	2169	1808	1328	1969	691	184	196	219	1219	1212	2872	593	1276	1403	170
LRRC39	37	80	55	50	31	3	0	1	0	15	15	11	17	13	52	56
DBT	2879	3794	3029	2125	2094	1256	186	289	324	1970	1395	2610	1447	2354	3510	285
RTCA	2106	4203	2971	2842	4597	2708	762	750	1618	2999	1892	5257	4038	3397	2949	1366
CDC14A	1516	14392	5968	1216	2803	205	586	398	597	2296	1586	2310	1993	2925	1811	1098
GPR88	0	13	6	0	50	0	3	39	8	7	18	6	44	21	0	5
VCAM1	4	2	281	82	0	0	0	0	0	4	4	1	18	1	2	0
EXTL2	151	298	368	323	3259	20	149	128	95	1845	1302	3319	231	1800	585	98
SLC30A7	2831	5357	4047	1735	3866	658	232	342	535	2413	1990	2871	6071	2564	3964	807
AC093157.1	24	68	42	10	38	0	5	0	0	22	50	19	23	21	42	0
DPH5	1369	2836	2088	1062	1856	47	192	125	668	1945	1220	2329	547	2109	985	601
S1PR1	7473	18324	10501	298	1236	0	224	75	19	403	600	234	29	605	13048	9
OLFM3	0	0	0	0	469	0	0	0	0	1	0	84	0	202	0	0
COL11A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNPC3	3393	4869	3666	2606	2902	859	491	520	1185	3241	1360	3091	4783	3326	2900	540
AMY2B	235	558	380	226	144	36	1	21	1	181	154	114	259	158	354	56
AMY2A	3	2	0	0	0	0	0	0	0	1	1	0	0	1	1	0
AMY1A	0	0	1	0	1	0	0	0	0	0	0	0	5	0	0	0
AMY1B	1	4	4	8	0	1	0	0	0	0	2	5	6	0	2	0
AMY1C	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PRMT6	327	385	266	649	1775	168	165	118	203	1095	834	2167	333	1405	295	227
NTNG1	176	0	1	154	1	0	0	56	0	1	2	0	0	0	2	0
VAV3	21092	1797	4128	8943	16533	46	1820	1851	3474	21015	10900	10808	10681	19981	18694	5680
SLC25A24	2962	1998	1659	3188	2724	2	616	750	2081	2973	1890	2168	7288	2843	1234	1873
NBPF4	0	0	1	8	1	0	0	0	0	3	0	2	0	0	0	1
NBPF6	0	0	0	5	3	0	0	0	0	1	1	0	0	8	0	0
FAM102B	2386	2330	2251	4470	9761	375	725	1113	1849	5530	2557	5864	8646	6267	4920	1833
HENMT1	404	885	1263	1622	4413	263	446	443	629	1551	2567	3433	626	2856	3115	710
PRPF38B	11304	15750	12472	10118	12797	3073	4932	3947	5573	9229	7507	14715	11873	11673	12475	6285
FNDC7	28	27	23	7	37	17	3	0	0	2	12	12	21	5	6	1
STXBP3	5823	9082	7925	7779	11529	5507	438	843	1286	8815	6836	9688	10844	11554	9788	680
GPSM2	584	536	447	4446	8761	4004	590	777	956	6912	4048	7536	1005	7676	478	1425
AKNAD1	3	0	0	232	36	4	100	3	0	112	11	35	2	57	6	1
CLCC1	1057	1265	766	1147	3506	649	629	557	442	3157	1549	3202	1707	3260	814	1853
WDR47	1354	1606	1214	2434	1871	229	277	194	698	1806	1204	1827	2093	2241	1656	1030
TAF13	272	447	459	972	471	650	150	131	629	504	356	343	1015	634	1143	383
TMEM167B	5594	7223	6422	5119	4790	2017	471	405	398	4691	2422	4118	10937	5180	7784	1246
KIAA1324	33	4479	2151	17	11	11	0	0	3	2	5	11	28	3	544	3
C1orf194	8	13	16	5	5	8	0	0	0	3	0	1	1	5	9	0
SARS	1577	4451	2996	1677	3111	1198	102	315	481	1327	1410	5118	4343	1811	4058	515
CELSR2	11	346	355	55	78	12	8	14	105	16	19	74	260	63	445	129
PSRC1	0	10	1	89	118	3	15	36	14	52	22	9	120	44	2	25
MYBPHL	0	0	0	3	1	0	0	0	0	6	0	0	68	0	0	6
SORT1	324	7	125	2268	1510	3	245	203	1669	3173	1084	91	19982	3050	356	3064
PSMA5	2353	6488	5095	6061	9575	2784	1195	1204	2210	4511	5524	11713	6353	6203	6691	2423
SYPL2	0	1	18	1	0	0	0	0	0	3	0	0	1	3	4	0
ATXN7L2	267	163	278	194	331	18	179	188	916	302	107	468	369	405	241	180
CYB561D1	384	1620	1037	590	666	27	69	11	168	437	425	540	998	569	1784	444
AMIGO1	69	4286	3658	132	149	9	9	3	0	204	54	157	22	292	1410	16
GPR61	57	237	161	86	4	47	10	0	0	21	5	16	106	38	47	0
GNAI3	6571	10141	8971	11412	15563	3641	2103	2357	5055	9699	7966	19426	22908	11421	12935	7302
GNAT2	66	101	85	131	73	53	11	6	19	153	41	71	95	146	95	14
AMPD2	380	495	347	180	2090	2	764	494	1309	1891	1120	2588	3445	2763	200	444
GSTM4	308	397	449	302	1414	21	1565	1863	4638	1683	827	1725	527	1834	695	1462
GSTM2	176	1154	640	322	1352	15	251	372	879	2002	994	1249	164	2668	985	536
GSTM1	621	1809	1195	1920	2215	465	533	921	1417	1827	2274	2013	1022	1685	1192	1732
GSTM5	4	14	4	146	2286	0	1333	1782	3054	3401	1552	784	10	3361	5	727
GSTM3	14	1309	794	76	570	3	117	154	638	2074	245	914	82	3428	69	138
EPS8L3	0	1	0	0	1	0	0	7	0	12	0	0	0	13	1	0
CSF1	11	215	83	0	5454	22	33	57	45	122	82	23852	85	1367	11	0
AHCYL1	6772	7827	6165	8934	27199	2830	4110	7146	12536	17504	12018	33648	22223	19171	8299	11944
STRIP1	1273	1698	1080	785	1341	323	267	259	592	1247	799	1790	1537	1219	1430	464
ALX3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
UBL4B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC6A17	3	8	13	0	11	0	0	0	0	3	5	2	1	21	0	0
KCNC4	79	248	82	129	228	0	34	75	42	252	139	104	51	246	30	38
RBM15	2434	1968	1735	1018	3087	763	543	514	713	1820	1249	3099	1928	2401	1556	3290
SLC16A4	1009	398	373	481	336	362	1	12	3	186	193	398	299	243	509	65
LAMTOR5	4030	2732	2075	3978	5424	3709	333	397	842	3123	3612	5666	5437	4585	2942	1225
PROK1	0	1	0	0	0	0	0	0	0	0	0	11	0	4	0	0
KCNA10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNA2	1	107	65	1	0	0	0	0	0	0	0	0	1	0	0	18
KCNA3	10081	25930	15645	4313	5279	7	1249	2557	1743	4924	2855	3059	2952	5073	3169	1634
CD53	29869	32152	25967	17953	12052	83	2184	3092	7301	14646	15967	8913	52342	11571	45080	12592
LRIF1	990	1193	1204	1324	1028	557	49	78	242	899	756	1506	414	1163	1250	121
CEPT1	4157	4832	4072	996	819	460	145	166	388	1220	618	982	1316	1113	3627	361
DRAM2	7481	3998	2799	2343	4147	496	282	317	666	2778	2245	3902	7046	3329	1960	925
CHI3L2	610	866	607	0	14	0	0	1	0	52	4	2	116	6	1677	2
DENND2D	1889	9914	8470	383	848	35	95	66	70	1363	621	959	1156	1193	10723	179
CHIA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIFO	284	81	56	0	14	0	0	2	0	91	44	4	17	50	10	13
OVGP1	174	343	256	33	31	0	2	2	4	168	39	30	45	91	38	22
ATP5F1	6904	12246	9084	12445	19186	5165	1779	1822	4289	10464	9986	22012	17337	13912	11185	4376
WDR77	2327	2316	1746	3270	3453	215	236	701	700	2041	2640	4765	1722	3296	2169	716
C1orf162	6040	9823	4975	394	4455	74	3554	2345	5338	2495	2323	937	38465	3547	13999	5670
RAP1A	14777	36887	30694	9125	18870	19283	5486	4417	11266	15714	11893	25072	55950	19622	28534	4935
ADORA3	5	5	2	51	54	0	5	14	18	37	75	7	648	104	15	3
DDX20	2519	3207	2651	2005	2348	730	301	316	658	2020	1827	3256	1740	2395	2040	703
FAM212B	246	271	161	221	755	74	42	31	450	309	493	1209	2013	494	239	144
KCND3	103	215	125	15	72	19	7	13	0	62	34	75	33	34	41	49
CTTNBP2NL	226	34	8	1117	2012	0	96	277	628	2579	1313	1030	2703	2142	63	263
WNT2B	221	276	231	166	271	54	6	19	14	271	141	87	78	197	199	1
CAPZA1	14434	13937	12794	14204	17087	4492	1741	2071	4462	7110	10127	13406	26791	8738	18576	3592
ST7L	2570	3614	2792	1103	1888	552	270	246	539	1826	977	1594	2227	1509	1523	905
MOV10	261	1641	1292	1149	2670	157	441	503	433	1730	1629	1874	919	3014	1278	464
RHOC	158	234	203	18	609	0	36	84	12	964	256	182	546	1004	1586	269
RP11-426L16.10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PPM1J	3	1	0	0	2	0	1	0	2	1	6	0	4	1	4	182
FAM19A3	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0
SLC16A1	399	866	791	2311	4997	1129	881	862	1337	1632	2309	5664	1247	2380	472	872
LRIG2	2927	4453	4184	3043	2449	564	296	261	392	3133	2129	2568	1626	3970	3555	478
MAGI3	104	1219	341	453	503	8	19	52	292	773	296	226	195	428	81	381
PHTF1	486	501	587	601	4269	281	171	130	333	4725	2236	3350	1187	4622	1659	540
RSBN1	6572	12893	9439	5222	7611	2582	581	968	1544	9520	3792	8699	3620	9844	6248	699
PTPN22	4796	8889	11577	527	4374	33	336	516	1964	5242	2179	4710	9474	5026	25971	932
BCL2L15	61	44	60	16	4	27	0	2	0	55	19	14	24	19	50	6
DCLRE1B	634	1119	1063	999	3666	2684	1093	1093	2080	1727	1939	4740	2944	2282	1152	858
AP4B1	1480	1210	844	604	1033	406	68	62	196	639	625	744	885	804	1372	276
HIPK1	11232	26125	22528	10869	35591	39059	7796	9152	17205	27350	14722	25176	38065	30173	34340	12529
OLFML3	0	2	3	1	8	9	12	15	126	1	21	0	48	1	25	0
SYT6	0	12	1	0	0	0	0	0	0	0	0	0	14	0	1	0
TRIM33	15966	17742	13258	10620	20522	13145	3704	2876	4500	13719	10067	27500	15661	14840	15950	7468
BCAS2	2744	5129	3625	2111	3306	901	424	210	532	2950	1585	3727	1857	3579	2402	928
DENND2C	199	240	231	10	54	3	0	1	4	274	3	3	19	127	310	1
AMPD1	4	4	0	2	1	1	7	0	0	0	1	0	0	0	16	4
NRAS	17643	10864	10762	12778	21363	6760	2147	2761	5539	13354	8258	23751	16250	15931	11511	12270
CSDE1	63568	115454	81532	40164	124368	37142	22321	24145	46965	96150	54942	112599	104759	115272	48429	49259
SIKE1	2988	4187	3727	3141	7293	756	787	618	1436	4050	3549	8103	3447	4329	4121	1500
SYCP1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0
TSHB	0	12	5	0	5	0	2	0	0	5	0	2	1	6	20	0
TSPAN2	6	587	376	11	1264	1	39	77	7	1231	473	447	977	1125	2054	141
NGF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VANGL1	82	327	431	1105	5085	1222	331	344	669	2352	1673	7058	580	3879	2926	1888
CASQ2	1	3	0	1	0	7	0	0	0	1	1	8	0	0	0	1
NHLH2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
SLC22A15	274	30	42	0	998	1	182	160	48	425	175	389	2621	454	304	20
MAB21L3	2	11	2	0	22	24	1	5	3	2	0	2	72	2	2	1
ATP1A1	7299	51558	29741	6898	34293	14581	13418	12516	26662	22411	18365	27609	35855	23735	16765	22644
AL136376.1	0	1	3	0	0	0	0	0	0	0	0	0	1	1	0	0
CD58	248	529	415	808	1117	1743	116	150	124	1140	1207	944	2749	1353	1227	143
IGSF3	3	4	1	4	34	20	0	7	105	23	17	156	38	14	0	40
C1orf137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD2	27	34187	24985	26	220	12	37	111	494	21	113	11	328	76	21549	1104
PTGFRN	0	140	22	2	55	0	80	25	116	6	74	107	553	14	75	452
CD101	6	494	1236	5	26	3	0	70	1345	8	16	7	5131	25	109	288
TTF2	1932	2120	1643	4106	7674	1896	1417	2046	4204	3649	4649	9461	1884	4525	849	5207
TRIM45	44	130	93	197	410	212	16	71	6	358	343	697	39	435	21	180
VTCN1	0	0	0	0	9	0	0	0	0	0	0	4	0	18	0	0
